time,rating,text,name,category,latitude,longitude,safety,cleanliness,infrastructure,nature,attractions,heritage,costs,other,created_at,id,lead_time,updated_at
1488935817844,5.0,Great park for running.,Prospect Park,Park||Tourist attraction,40.6602037,-73.9689558,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,,,,
1564367033505,5.0,Super nice people here and clean too,Jacob Riis Park,Park||Public beach||Tourist attraction,40.567069499999995,-73.8717702,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,,,,
1535511852316,5.0,Issa good place for family and friends,Bronx Zoo,Zoo||Tourist attraction,40.8505949,-73.8769982,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1477107208681,1.0,Threw away my money. They should have told me that it would be nearly impossible for someone who is 6'4 to even enter the initial obstacle. Crazy. Seems like an awesome experience for anyone who isn't a giraffe like me.,Bane Haunted House,Haunted house||Tourist attraction,40.763589,-73.9976063,notmentioned,notmentioned,negative,notmentioned,positive,notmentioned,negative,notmentioned,,,,
1565203766225,4.0,Edgar Allen Poe and his buddies used to hang out here and drink beer!,River Run Playground,Playground||Tourist attraction,40.7870938,-73.9821618,notmentioned,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,positive,,,,
1567217785958,3.0,Way too mnay bats at night,Fort Greene Park,Park||Tourist attraction,40.6914322,-73.975246,negative,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,,,,
1563277745928,5.0,Love the Ave,Jamaica Coliseum,Shopping mall,40.7074594,-73.7963681,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1525038031942,5.0,Serene amazing place!,Azalea Pond,Scenic spot||Tourist attraction,40.7772608,-73.9706643,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive,,,,
1538610048675,5.0,Super nice and good sound,Radio City Music Hall,Performing arts theater||Concert hall||Live music venue||Tourist attraction,40.759975999999995,-73.9799772,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,,,,
1488071182557,5.0,"Beautiful, iconic landmark.",Grand Central Terminal,Train station,40.7527262,-73.9772294,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,,,,
1551466055900,3.0,Has your immediate needs,Rochdale Village Shopping Center,Shopping mall,40.6785566,-73.77747889999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,neutral,,,,
1483144277173,5.0,For only $2 you can ride in this beautiful carousel. The view of City from here is breathtaking,Jane's Carousel,Amusement park ride||Tourist attraction,40.7044242,-73.9923835,notmentioned,notmentioned,positive,positive,positive,notmentioned,positive,notmentioned,,,,
1563370653885,5.0,Its a beautiful park.,Canarsie Park,Park||Tourist attraction,40.6277696,-73.89508649999999,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,,,,
1464917036915,4.0,"Very relaxing, and great energy.",Conservatory Water,Tourist attraction,40.7742331,-73.9671147,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1484744769183,5.0,Can see the court really well even from the upper level. Really cool entrance and a little practice court gives good views of players doing individual drills with a trainer.,Barclays Center,Arena||Sports complex,40.6826465,-73.97541559999999,notmentioned,notmentioned,positive,notmentioned,positive,positive,notmentioned,notmentioned,,,,
1583802909767,5.0,You can find everything here. Is a very good mall with a very good food.,Green Acres Mall,Shopping mall||Clothing store||Restaurant,40.6627613,-73.7196783,notmentioned,notmentioned,positive,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1604505089618,5.0,"Beyond a magnificent experience viewing the scenes of New York City’s Skyline while climbing the stairs of the vessel and feeling the gentle wind kissing your cheeks. Absolutely Breathtaking and I’d recommend a visit once you’re in the big Apple!!! Shopping mall is right next to it and u can walk around the popular area. There’s Macy’s, Penn station, etc right around the neighborhood. While you’re there check out The Edge NYC also!! Tickets are required to visit which can be purchased right there by scanning a barcode and guess what??? It’s free of cost!!!!!!",Vessel,Tourist attraction,40.7538073,-74.0021537,notmentioned,notmentioned,positive,positive,positive,notmentioned,positive,positive,,,,
1485887513193,4.0,"It is very good, it is small but it has its charm, when you go up to the first floor you do it by a narrow spiral staircase. And the views are wonderful.",Belvedere Castle,Castle||Historical landmark||Scenic spot||Tourist attraction,40.7794302,-73.9690677,notmentioned,notmentioned,positive,positive,positive,notmentioned,notmentioned,notmentioned,,,,
1566103937631,5.0,Great movie theater.,42nd Street Entertainment Center,Performing arts theater||Shopping mall,40.7568845,-73.9881335,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,,,,
1560166339511,5.0,"Brookfield Place is not just a shopping experience. They have live shows, holiday parties for children and adults and Santa! There is a huge selection of restaurants to choose from. The surrounding area is beautiful and it sits right on the water. Nice place to spend a few hours if you're in the city.",Brookfield Place,Shopping mall||Tourist attraction,40.712716799999995,-74.01528239999999,notmentioned,notmentioned,positive,positive,positive,notmentioned,notmentioned,positive,,,,
1558735604702,5.0,An island of calm in a noisy part of the city.,Flatiron Building,Building||Historical place||Tourist attraction,40.7410605,-73.9896986,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,,,,
1548625267817,5.0,In chealse market,Artists & Fleas Chelsea,Market||Boutique||Gift shop||Record store||Tourist attraction||Vintage clothing store,40.7428736,-74.0073428,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,,,,
1569689516522,5.0,"The best place to play sports, share in the grass, rest or listen to a concert with the view of NYC",The Great Lawn,Park||Athletic field||Baseball field||Softball field||Tourist attraction,40.7816915,-73.96641919999999,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive,,,,
1574652479805,3.0,Good place to shop,Hugh J. Grant Circle,Park,40.8330305,-73.8609006,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1576975240910,4.0,Testing are good!,Essex Market,Market||Produce market||Restaurant||Tourist attraction,40.7180004,-73.98819,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,,,,
1527391872660,5.0,"I think it is the most beautiful, clean and up to date Subway station in NYC.",34 St - Hudson Yards,Subway station,40.7549713,-74.0010084,notmentioned,positive,positive,notmentioned,notmentioned,notmentioned,notmentioned,positive,,,,
1526864388599,5.0,Clean environment,Pelham Bay Park,Park||Athletic park||Basketball court||Dog park||Nature preserve||Playground||Soccer field||Tourist attraction,40.867014399999995,-73.81006339999999,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,,,,
1560902911559,5.0,"Fabulous, we remain speechless",One World Trade Center,Business center||Tourist attraction,40.7127431,-74.0133795,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1575770228912,3.0,Basically a high end specialty mall and small flea market.,Chelsea Market,Shopping mall,40.7424509,-74.0059581,notmentioned,notmentioned,positive,notmentioned,positive,notmentioned,neutral,neutral,,,,
1604587968309,5.0,"This is incredible place to visit now. So beautiful, so amazing! I used to go often there since April, 2020",Washington Square Park,Park||Tourist attraction,40.7308838,-73.997332,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive,,,,
1577561046646,5.0,Great skating experience in the middle of the city. Beautiful!,Bryant Park,Park||Tourist attraction,40.7535965,-73.9832326,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive,,,,
1580515700844,5.0,Love it! Amazing FDNY!,Ghostbusters Headquarters,Tourist attraction,40.7195656,-74.0066124,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1573959998502,5.0,The Christmas Show should be everyone's holiday tradition. The production quality is fantastic and the sound here is perfect. Nothing beats seeing the Rockettes live.,Radio City Music Hall,Performing arts theater||Concert hall||Live music venue||Tourist attraction,40.759975999999995,-73.9799772,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1541398479441,4.0,These guys are okay. Under the new management their response time have improved immensely.and the parking lot is not clustered and jam packed no more.,The Landing - Valet Parking for LaGuardia Airport,Parking lot||Airport shuttle service||Park||Park & ride||Parking garage||Parking lot for motorcycles||Valet parking service,40.768966299999995,-73.875844,positive,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,positive,,,,
1560402138698,5.0,It's a beautiful park near to WTC its perfect to take pictures or only take a rest.,Zuccotti Park,Park||Tourist attraction,40.7092649,-74.011262,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,notmentioned,,,,
1567040605823,5.0,Top,Bowling Green,Park||Tourist attraction,40.7049774,-74.0136509,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,,,,
1556214762275,5.0,Lots of branded shoes are in the shopping mall.,The Shops at SkyView Center,Shopping mall||Restaurant,40.7572609,-73.8356116,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,,,,
1555174427756,4.0,Kohls is closing! Sorry to see it go!,Rego Center,Shopping mall,40.7332336,-73.86381639999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative,negative,,,,
1500461203357,4.0,Nice location,Queens Place Mall,Shopping mall,40.7355974,-73.8745378,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive,,,,
1571157501978,5.0,READY FOR THE 2019-2020 SEASON! I LOVE THIS PLACE I LOVE BROOKLYN AND I LOVE WHAT THIS VENUE BROUGHT TO OUR CITY.,Barclays Center,Arena||Sports complex,40.6826465,-73.97541559999999,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1585513525555,5.0,Free chocolate upon admission,Hershey's Chocolate World,Chocolate shop||Candy store||Tourist attraction,40.7593411,-73.9843095,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,,,,
1447716448470,5.0,if you come around 8 pm at summer time you can see fireflies all over the park. an amazing view in the middle of the city.,Tompkins Square Park,City park||Basketball court||Dog park||Handball court||Park||Playground||Public swimming pool,40.726429499999995,-73.9817841,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive,,,,
1510136071554,5.0,Work here,Brookfield Place,Shopping mall||Tourist attraction,40.712716799999995,-74.01528239999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,,,,
1492272907401,5.0,Great tours love the history of it all,Tenement Museum,History museum||Museum||Tourist attraction,40.7188154,-73.9901187,notmentioned,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,,,,
1525747212403,5.0,Nice to walk,Kissena Park,Park||City park||Tourist attraction,40.7461191,-73.8076036,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive,,,,
1619880721270,5.0,"It is a unique structure in the world, totally eradicates the concept of a classic museum. A beautiful and enlightening experience.",Solomon R. Guggenheim Museum,Modern art museum||Art museum||Museum||Tourist attraction,40.7829796,-73.9589706,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,,,,
1483479624361,3.0,Quite Crowded,The Shops at Columbus Circle,Shopping mall,40.7685811,-73.9831811,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative,,,,
1531485371330,5.0,A wonderful place for kids to grandparents. Beautiful cityscapes with lots of information on the fish and the Sea environment . Special quests for kids. Special seats for disabled at shows. Indoor and outdoor sea creatures. The new Shark House is amazing.,New York Aquarium,Aquarium||Tourist attraction,40.574010099999995,-73.9760005,notmentioned,notmentioned,positive,positive,positive,notmentioned,notmentioned,positive,,,,
1544655752513,2.0,"It looked good, but when I went there was a private event and it was not accessible.",The Jazz Gallery,Live music venue||Art gallery||Non-profit organization,40.7446278,-73.98858059999999,notmentioned,notmentioned,negative,notmentioned,notmentioned,notmentioned,notmentioned,negative,,,,
1556460663304,5.0,"Very good,best parking time is after 7pm on south side of queens blvd. parking meters are free.",Queens Center,Shopping mall||Clothing store||Restaurant,40.734483399999995,-73.8696793,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive,notmentioned,,,,
1547499741947,5.0,It is a great mall and has a variety of stores,Kings Plaza Shopping Center,Shopping mall||Clothing store||Restaurant,40.6101191,-73.920052,notmentioned,notmentioned,positive,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1504186818668,1.0,"Really short tour that wasn't worth the price. They only show you either the Seth Meyers stage or Jimmy Fallon and staff working in the production room. Although, creating your own version of late night television show was fun, it definitely wasn't worth the price. I highly don't recommend it, studio tours in LA are much better.",The Tour at NBC Studios,Tourist attraction,40.7593651,-73.98009789999999,negative,notmentioned,notmentioned,notmentioned,positive,notmentioned,negative,negative,,,,
1469936086634,5.0,"Great playground for all ages, and really fun to go to in the summer with the huge sprinklers",American Playground,Playground||Basketball court||City park||Handball court||Park||Public bathroom||Tourist attraction,40.728831,-73.957855,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,notmentioned,,,,
1452479468416,4.0,Fine place to go to at NYC right near the central park,Columbus Circle,Historical landmark,40.7680797,-73.9818957,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive,,,,
1447725966292,5.0,This place was amazing. They had a great maker-type space in their museum that was just beautiful.,New York Hall Of Science,Science museum||Children's museum||Tourist attraction,40.7472583,-73.8516925,notmentioned,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,positive,,,,
1562206842853,2.0,Is being renovated,Trinity Church,Episcopal church||Place of worship||Tourist attraction,40.7079928,-74.011594,notmentioned,notmentioned,neutral,notmentioned,notmentioned,notmentioned,notmentioned,neutral,,,,
1473359410015,4.0,Wonderful but the entrance fee was way to high.,Whitney Museum of American Art,Modern art museum||Art museum||Museum||Tourist attraction,40.7395877,-74.0088629,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,negative,notmentioned,,,,
1531091733095,4.0,Nice mall. Big square,Queens Center,Shopping mall||Clothing store||Restaurant,40.734483399999995,-73.8696793,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,positive,,,,
1488455103146,5.0,Loved being there,Friends Apartment,Tourist attraction,40.7324118,-74.0053334,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1507924973553,3.0,Strip mall,Whitestone Shopping Center,Shopping mall,40.7881651,-73.8090754,notmentioned,notmentioned,neutral,notmentioned,notmentioned,notmentioned,notmentioned,neutral,,,,
1566145567904,5.0,Got everything I wanted,Forest Promenade Shopping Plaza,Shopping mall,40.624083,-74.1480584,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,,,,
1560106288277,5.0,I love NY,Union Square Park,Park||City park||Tourist attraction,40.735823499999995,-73.9905215,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1490705214249,4.0,Good shopping with competitive price in the middle of New York,Manhattan Mall,Shopping mall,40.749310699999995,-73.98929849999999,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,positive,notmentioned,,,,
1616463883294,4.0,Beautiful place a good hike,Westfield World Trade Center,Shopping mall,40.7115663,-74.0114261,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,notmentioned,,,,
1507166021732,4.0,Cute short detour. Come later towards closing time to avoid crowds!,SeaGlass Carousel,Amusement park ride||Tourist attraction,40.7021532,-74.0150019,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1556405235043,5.0,Had an amazing time here with my daughter. The staff was very helpful and welcoming. They also have accommodations for Birthday parties. I’ll definitely visit again and recommend family and friends!,Sky Zone Trampoline Park,Amusement center||Sports complex||Theme park||Tourist attraction,40.9112441,-73.7803259,notmentioned,notmentioned,positive,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1513189615355,1.0,"Statue cruises are fine, I would give them 5 stars for what you get for the buck. However, there is an insane number of scam sellers in the area that pretend to be StatueCruises employees and hawk on tourists. They have jackets that match the StatueCruises colors, they have officially looking employee cards on their necks and they even say they work for the StatueCruises company. Except they are not. They jump on you as soon as you leave the metro and lie that tickets are sold out for the day and try to sell you express tours. Then they take you to shuttle buses that leave for boats docket somewhere in Brooklyn, which you realize only after paying. A total scam. We were smart enough not to pay, but saw lots of tourists that did and were being boarded into the shuttles. When we declined their offer we were shouted at, harassed and intimidated. This was in the middle of a day. And the worst part was that the police were present just around the corner but did nothing to stop them. This thing needs to be sorted out, otherwise it is a big shame on the company and the NEW YORK CITY as a whole.",Statue City Cruises Battery Park/ Liberty Island,Tourist attraction||Boat tour agency||Ferry service||Historical landmark||Sculpture||Tour agency,40.7034977,-74.01661,negative,notmentioned,negative,notmentioned,positive,notmentioned,positive,negative,,,,
1599335911935,5.0,VERY CLEAN AND FRESH. HAS A POOL,Sunset Park,Park||Tourist attraction,40.6479517,-74.0037443,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,,,,
1566433958448,5.0,"Well, the building of my favorite series",Friends Apartment,Tourist attraction,40.7324118,-74.0053334,notmentioned,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,,,,
1536358858713,5.0,For fans of Spiderman,Flatiron Building,Building||Historical place||Tourist attraction,40.7410605,-73.9896986,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,,,,
1582338406583,5.0,A place to relax nice,Pier 64 at Hudson River Park,Park||Marina||Tourist attraction,40.7507936,-74.0096138,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive,,,,
1554142862546,5.0,"Very pretty cathedral in the middle of the buildings of Manhattan, worth the detour outside as inside! Inside, do not miss the beautiful mosaics on the ground! Visit quickly enough, nice neighborhood!",St. Patrick's Cathedral,Cathedral||Catholic church||Tourist attraction,40.7586117,-73.9761953,notmentioned,notmentioned,neutral,positive,notmentioned,positive,notmentioned,positive,,,,
1545014228987,3.0,Getting ready,Christmas House Bronx,Museum,40.857973,-73.839832,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,neutral,,,,
1543679132667,5.0,"They have great stores like foot locker, Model's sporting goods and lots more, so come on down to shop til you drop and get lunch at McDonald's and Popeyes too.",Main St,Subway station,40.7595582,-73.82992209999999,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,positive,positive,,,,
1488855118561,3.0,Near the entrance of Central Park. Designer stores.,Manhattan Mall,Shopping mall,40.749310699999995,-73.98929849999999,notmentioned,notmentioned,positive,positive,positive,notmentioned,notmentioned,notmentioned,,,,
1535230294446,3.0,Nice but you have to pay extra to see certain things like the gorillas.,Bronx Zoo,Zoo||Tourist attraction,40.8505949,-73.8769982,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative,positive,,,,
1583444740797,5.0,Cute park to visit,Alexander Hamilton Playground,Playground||Park,40.8230954,-73.95113359999999,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,notmentioned,,,,
1462895500951,3.0,"I grew up going to that pool, and it was great back in the 80s and early 90s. Maintenance and security could be a whole lot better though. Otherwise, it's a nice place to swim in.",Crotona Pool,Public swimming pool||Outdoor swimming pool,40.840112399999995,-73.8979971,positive,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,negative,,,,
1608254002528,5.0,There is not much people right now on this times. Best time to visit,Father Duffy Square,Tourist attraction||Historical landmark||Park,40.7590077,-73.9850222,notmentioned,notmentioned,notmentioned,notmentioned,neutral,notmentioned,notmentioned,neutral,,,,
1559503583031,5.0,"Shade, sun, the perfect place to rest, picnic",Sheep Meadow,Park||Tourist attraction,40.7717813,-73.9748418,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,notmentioned,,,,
1580236452640,5.0,Loved the lights,Bronx Zoo,Zoo||Tourist attraction,40.8505949,-73.8769982,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,,,,
1618301958116,4.0,I love shopping at Gateway and I always finish shopping and go get me something to eat and mosey on to the bus stop with a smile on my face oh and my heavy bags cuz I always over shop,Gateway Center,Shopping mall,40.6525,-73.8713889,notmentioned,notmentioned,positive,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1561562860591,4.0,"Great experience. Everything was great there - only the beer price was personal hell. Pils was missing during the sport therefore. Unusual, but it was a great experience.",Barclays Center,Arena||Sports complex,40.6826465,-73.97541559999999,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,negative,positive,,,,
1566385228491,5.0,Wonderful!!!,Central Park Zoo,Zoo||Tourist attraction,40.767778,-73.9718335,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,,,,
1582047423674,5.0,"Great place, clean, beautiful, elegant. I worked here as a security guard in the fall of 2019. Nice and interesting selection of everything! An interesting collection of gold jewelry. Been there many times in early autumn in 2019! Hello guys from me, your former Security Guard - Alex ..",Mociun Fine Jewelry & Home,Jewelry designer||Art gallery||Home goods store||Jewelry store||Stylist,40.714014299999995,-73.9594177,positive,positive,notmentioned,positive,positive,notmentioned,notmentioned,positive,,,,
1527469598463,4.0,"Super nice place very artistic ,several service and oferts",Chelsea Market,Shopping mall,40.7424509,-74.0059581,notmentioned,notmentioned,notmentioned,notmentioned,positive,positive,positive,positive,,,,
1604708821647,5.0,Very special place!,St Peter's Roman Catholic Church,Catholic church||Tourist attraction,40.712483299999995,-74.00953059999999,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1578432327415,4.0,"If you want to visit the Statue of Liberty, this is it. The cruise departs at regular intervals - book online ahead of time to secure a reservation if you want to climb up the statue to the pedestal or crown when you get there. The cruise itself stops at both liberty island (includes free audio tour) and Ellis Island.",Statue City Cruises Battery Park/ Liberty Island,Tourist attraction||Boat tour agency||Ferry service||Historical landmark||Sculpture||Tour agency,40.7034977,-74.01661,notmentioned,notmentioned,neutral,notmentioned,positive,positive,notmentioned,neutral,,,,
1567132366167,4.0,Spacious and fun filling,Springfield Park,Park||Tourist attraction,40.6629975,-73.7612001,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1570302436911,5.0,"Maximum! Remembering your creator is too much ...... having done that at that time ,, hired Napoleon Hill ,,,,,,,,,,,,, to do the SUPER study that culminated with your SUPER Book about..................",Carnegie Hall,Concert hall||Live music venue||Tourist attraction,40.7651258,-73.97992359999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,,,,
1530811604771,5.0,Such a great family day. Wednesday is donation day and you can save a couple of dollars. You can bring your own food and drinks. Be prepared to walk alot and try to make a plan before hand to maximize your time there.,Bronx Zoo,Zoo||Tourist attraction,40.8505949,-73.8769982,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,positive,positive,,,,
1582214062312,4.0,"Child loved it, only small but what is there is well cared for in lovely enclosures, nice for a wander through if you have a few hours to spare",Central Park Zoo,Zoo||Tourist attraction,40.767778,-73.9718335,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive,,,,
1597693937876,5.0,Peaceful amid the bustle of city,Madison Square Park,Park||Tourist attraction,40.7421872,-73.9880175,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,notmentioned,positive,,,,
1601744222620,5.0,A special and extraordinary place. Always a joy to visit.,The Met Cloisters,Art museum||Museum||Tourist attraction,40.8648628,-73.9317274,notmentioned,notmentioned,notmentioned,positive,positive,notmentioned,notmentioned,positive,,,,
1604665231382,5.0,Very nice and clean,Stockton Playground,Playground,40.697270499999995,-73.9486725,notmentioned,positive,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,positive,,,,
1581327455077,4.0,Super cool small art gallery,The Journal Gallery,Art gallery,40.718426,-74.0043807,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1600744520129,5.0,Cool place.,Unisphere,Tourist attraction||Historical landmark||Scenic spot||Sculpture,40.7463961,-73.8450629,notmentioned,notmentioned,notmentioned,notmentioned,positive,notmentioned,notmentioned,positive,,,,
1558803544011,5.0,very flexible,Atlantic Terminal Mall,Shopping mall,40.684568,-73.97697699999999,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,neutral,,,,
1485318269951,2.0,"It has little variety of premises, there is no bench to sit on, and it looks sloppy",Manhattan Mall,Shopping mall,40.749310699999995,-73.98929849999999,negative,negative,notmentioned,notmentioned,notmentioned,notmentioned,notmentioned,negative,,,,
