text,safety,cleanliness
"My horrible experience on April 16th, 2016 I made a reservation on 4/11/2016 to park my car at your JFK facility from 4/16 - 4/18. This reservation was immediately confirmed by email and I also printed out a copy of the confirmed reservation. When I arrived at your facility on 4/16 at 11:30 AM, I was told you had a computer glitch that caused overselling of parking spaces. Now I had to go and find another place to park. This caused me extreme grief and stress and almost caused me to miss my flight. I ended up having to park in JFK's long term parking facility, which ended up costing me more money than SmartPark charge would have been. It also took me much longer to get to the Delta terminal because we had to take the Air Train. I hold your company completely responsible for this screw up and feel that you should cover my cost for having to park at JFK'S long term lot. I previously sent your company an email on 4/16 and to this day I have still not heard back from anyone in your company. Whatever happened to good customer service??? If you are not willing to cover my cost of $42.00, I will express my dissatisfaction on social media. I would not have given any stars to this review, but their system will not let you post a review without choosing at least 1 star. I am thoroughly disgusted and will never trust using your parking facility again.",Negative,Negative
Unfriendly and not professional people.,Negative,Negative
The gas here is the best low price that I know of. Sometimes there's a waiting line for gas it's that low. But unfortunately some homeless men from the shelter from across the street come to the gas station and approach you to ask you do you want me to pump your gas? Like I ask you? and you want money on top of that. Lol . NO!!!,Negative,Negative
Relax place to walk or run,Positive,Positive
Fantastic lots of things to do and see can't wait for the Amusement Park area to open!!!,None,None
"Initially I only wanted to take the ferry around the statue of liberty as I didn't think I'd gain much from getting off the boat. How wrong was I? The island was super interesting and the audio tour was perfect. I learnt so much. The Statue of liberty museum provides lots of insightful information about lady liberty's history, construction, development and meaning. If you want to go up the crown you need to book a few months in advance as it books up we'll in advance. I'm a Brit who has been genuinely enlightened by Lady liberty",None,None
Wonderful place to explore the people that worked at the gift shop definitely need some customer service help they take forever to do anything for you,Negative,Negative
I reallyyyyy love this place. The staff takes so much pride in their room designs and it’s a blast. 100% recommended,Positive,Positive
Good trails. Kind of dirty in some spots.,Positive,Negative
The view from the 39th floor is priceless,None,None
Friendly worker's lots to choose from In the snacks dept. Clean and they have restroom you can use which comes in handy..,Positive,Positive
A mythical and lively place of American life.,None,None
Cause ots clean the park for the kids is awesome,Positive,Positive
"respectful and it remains clean thanks to the community surrounding it. Great for running, playing soccer, tennis, etc... Perfect tip for anyone stepping there, KEEP IT CLEAN!!!",Positive,Positive
Its close to everything. Shops of all kinds. Transportation and more. It is a traditional local hang out. Just great!,None,None
It's across the facility I'm in,None,None
"Luna park Coney Island every Friday night has fight work until Labor Day. There is a firework show every Friday night at Luna Park Beach in Coney Island, New York. This event will continue until Labor Day.",None,None
"Great park with alot of space and courts such as tennis fields, handball, basketball, baseball, football and soccer fields. The park is heavily congested with drugs and while having a friendly atmosphere the drug usage is high in the park. The presence of police is absent, but violent crime is not an issue.",Negative,Negative
"As an Aussie where the two original (yes you heard me) Luna Parks exist I have to say that visiting this Luna Park was worth the effort. Lots of side shows, old rides and some great modern rides as well. The place really captures the atmosphere and ambience of an old time amusement park while having modern enough gear to bring in the kids. I really enjoyed myself in this park and would recommend it. I've now been to all three Luna Parks in the world :).",None,None
Good spot but the prices are way high,None,None
Nice day to be out,None,None
"We went by with a ferry. We did not get on the island because there were no more tickets available. We did get a good impression though by just passing by. It seems you can go inside of the statue and walk to the top. So if you really want to visit this place, be sure to make your reservation in time.",None,None
"Don’t be dirty pick up your trash, nice quiet place",Positive,Positive
Parked here while I traveled abroad for a week. Had no problems partking and getting in or out.,Positive,Positive
Beautiful scenery in four seasons,None,None
Great place. Friday from 9pm to 12 am is glow in the dark night. That was fun. Only bad side 30 minutes before closing the turned off the glow in the dark lights and put on the regular lights.They were clearly trying to get rid of everyone early.,None,Negative
prompt courteous service with a loyalty program need I say more,Positive,Positive
The overall experience was very nice I was there for a private event so it was very quiet but once it opened up to the public and it was a bit packed but is still very nice all the customer service was well-executed with friendly staff,None,None
"Great park for family's and individuals alike. Multiple children play areas, Chess Tables, Swimming Pool, Dog Park, Amphitheater with great free Concerts in the summer. Lots of grass space. Sometime features local art work and sculptures.",Positive,Positive
Horrible exposition on a horrible event. I really felt bad after the visit. But anyone who might feel some kind of understanding for terrorists should see it. The understanding will certainly vanish.,None,Negative
"Quite place, flowers, pleasant place for alone time",None,Positive
"I am a new driver and I did not know much about cars, I was having problems with my AC and I went to other places who told me I needed and Ac compresser and began to point out that they have to do another things trying to scam me because I was new to this, and they gave me prices that was out of my budget. I was then recomended to go to rockaway car care, and turns out my AC belt was broken. They did not try to scam me like the other places as they were understanding and helped me understand how my car would work. My car is a 1999 Honda Civic, and it works like a charm thanks to them for helping me understand how I can make it work like new. I would go again!",None,None
"Sat in front of it, well maintained",Positive,Positive
The morning session is better if you have little ones. I loved it,None,Positive
One of many parks that i enjoy visiting because of the many people i meet from all over the World that visit New York the Big Apple big city of dreams,None,None
Good close up views of airplanes landing.,None,None
"I really like this park, it is very quiet, to spend time with the family and enjoy nature I recommend it.",Positive,Positive
The cheapest BP FUEL in the area,None,None
"It was pretty crowded,I did feel safe due to the patrol car sitting in the park though and that matters alot,for the most part people and kids had they mask on,so I'd say it was a good experience",Positive,Positive
"Dirty, broken disgusting touch screens.",Negative,Negative
Should book tickts from months before you visit.,None,None
"A quiet place away from the bustle of NYC, the ferry costs only $ 3 and you can take the tour guide for which they ask for the cooperation you want, and it is very much worth it. The small houses of this place, the green areas, the tranquility and the history of the whole, make Governors Island one of the best proposals in NYC for the whole family. It has a wide area of ​​food, and places to make beautiful picnics by anyone. Beautiful and large trees that offer their shade for a nap, and a lot of activities for the little ones that go from bicycles to learn to plant and their own playground where - by the way - adults are not allowed. A dream place to spend as a couple or as a family. Super recommended if you like green areas.",Positive,Positive
Nice price on gas at the time I was there.,None,None
"They were great. Got me to the airport within 20mins of my parking, and came right away to pick me up when I called.",Positive,Positive
Iconic monument is a must to visit - you get a good perspective of just how immense it is.,None,None
It was some breath taking view,None,None
My kids love it place,None,None
Been waiting for more than 10 mins no one here,Negative,Negative
A lot of steps to climb to One of the best vantage points in upper Manhattan. Plus playgrounds and other recreation areas and just patches of grass to lay down and relax in a busy city. they're doing lots of restoration summer 2020 so hopefully some great things will come out of that too.,Positive,Positive
Beautiful non-traditional carousel and only $5 a ride. The operator was so patient and understanding of my very tired and cranky 3 year old having a meltdown as we went to get on. She wasn't happy about having to ride with and adult. He held up the ride to try and give her time to calm down and get on and reassured me that it happens all the time. The ride itself with the lights and music was so pretty.,Positive,Positive
"Very nice area, I love it!!",Positive,Positive
"First time there and very excited about visiting and seeing the Statue of Liberty. Many people were there, we were able to take lots of pictures and get our piece of the pie there as far as the statue goes. Everybody around was quite polite helping each other take pictures of each other. Was a wonderful day, and great weather plus the pictures turned out fabulous. Highly recommend this place.",None,None
"Well, you do not necessarily have to see it. But some great stores around it",None,None
Very nicely-preserved place to enjoy an outstanding view of New York and the Hudson river. 5 stars for me,Positive,Positive
It was a beautiful Tuesday afternoon at Marcus Garvey Park,None,None
There are alot of things for There are alot of things for kids to do,None,None
They dont overcharge for services not needed. They are honest about what the car needs to be fixed,None,None
"When I lived in the Columbia Univ. area, I was always told “NEVER” to venture into Morningside Park by myself",Negative,Negative
"Nice gas station, has space for multiple cars to get gas simultaneously.",Positive,Positive
My Dream came to true.I visit this monument.Everybody should visit.Great felling.,Positive,Positive
"I did the virtual escape room Scarab's Curse, and it was the best virtual escape room I've done. I've done many in person rooms, as well as multiple virtual, and this maintained the thrill that I crave from escape rooms. They did an incredible job with the technology aspect. There were 3D rooms, the difficulty level of the puzzles was perfect, and the air of competition was a driving factor. I will definitely be doing the next virtual escape room from Clue Chase. I look forward to it.",None,None
"so cool!! cute fun ride for adults or kids !!! live music, fishes go up and down with the music. nice fun little place!!!",None,None
"My wife wanted to be in the crown of the Statue of Liberty on her birthday. We decided to walk up the entire way. We were told that it was the equivalent of a 20 story building. It was well worth the extra effort to walk the entire thing. If you are going to do a crown tour, you need to book well in advance. You cannot buy crown tickets at the check in point. There is a reason that you are not permitted to bring bags and backpacks, and are limited to one camera per person. The spiral staircase going up to the crown is extremely tight and the steps are taller than normal. It's a really tight spiral! It is an amazing journey that you will not forget. When you reach the top you will be rewarded with an amazing view, and an amazing experience knowing that you are at the top of the Statue of Liberty! We went in February, and the outside temperature was 25°F. The temperature inside the crown was 70°F! I asked one of the attendants how hot it gets in summer and she said she has seen it reach 110°F! Therefore, I highly recommend doing this in the winter time. As an added bonus, crowds should be slightly smaller when it's freezing outside. :-)",Positive,Positive
I wanna go back lol,None,None
"Lively, authentic New York City park. Great playground for little kids-- complete with sand box and jazz musicians playing nearby.",Positive,Positive
"Beautiful landmark, I am pretty amazed with the entertaining and very informative museum about the history of Liberty herself.",None,None
Loved it a little nature spot,None,None
Local park and Recreaction center. Its fine.,None,None
Great place to visit and learn.,None,None
Hole in the wall spot but amazing music drinks are ok environment is lit.,None,Positive
This is the peaceful park,Positive,Positive
Such a awwe inspiring experience,None,None
Large dog park I'm Dumbo. Smaller section available too. Hit or miss with dog owners. Sometimes too many dogs and people not paying attention.,Negative,Negative
"10 year old kid enjoyed, children love the intrigue of what happens in the past about the beautiful lady.",None,None
"The repair work as acceptable, but somewhat expensive.",None,None
Nice place to chill and enjoy all that is NYC.,None,None
Brilliant experience! Statue of liberty is a must when you visit the US!,None,None
It's very relaxing to walk around or rent bikes to ride around the island. Lots of grass land to picnic and play or just lay in the shade to relax. There are stuff for kids to do. The public bathrooms are clean. Food and drinks are pricy.,Positive,Positive
Good parking garage if you look around the internet you can probably find a coupon,None,None
Very good just don't take the ferry out of new Jersey because they were playing Mexican music as we passed the statue,Positive,Negative
Love running and riding my bike here.,Positive,Positive
Come down with the kids,None,None
"A must when you have a couple of hours, not far from Bloomingdales.",None,None
Rocked out to the So So Glos beneath Lady Liberty,None,None
"I went to get gas there for the first time as I was in a rush. I have a small car and always pay between 30-33 bucks for a full tank. I paid with my debit card, man didn’t give me a receipt. I got to work and I realized they charged me 50 for regular gas. I have a 2015 veloster, tell me how is it possible to pay $50 with a car like that?",None,Negative
Sucks part of it was blocked off due to a private party. And other parts were just unavailable/under construction.,Negative,Negative
My very 1st time and i enjoyed myself,None,None
Beautiful park with great views of the bay. The kids love this park with all the hills and trees.,None,None
"They have the lowest gas price in the area and offer a rewards credit card just for use at Sunoco pumps and at their gas station convenience stores. It automatically gives you $0.05 off per gallon but it also works with an Acme supermarket promotion. You register your cell phone number with Acme and enter it each time you buy groceries at Acme and you get a lot of sale prices. For each $100 in groceries you spend at Acme, you get an additional $0.10 off per gallon when you enter your cell phone number in a Sunoco gas pump. Pay for the gas with the Sunoco card and it becomes $0.15 off per gallon. Spend $200 at Acme and you get $0.25 per gallon at Sunoco, ect. It's a good deal!",None,None
Its a nice field! My son had fun playing his football game there!,Positive,Positive
Great place. In 2019 it will become better with the museum opening.,None,None
Lovely neighborhood Park with local live music,Positive,Positive
"It is an awesome place, we enjoyed much the stay and the trip from the boat was really great. One of the most amazing experiences that we ever had.",Positive,Positive
Really fun. Always friendly people in there!,None,None
"I was so excited about the new location opening because I live closer to Queens. My nephew LOVES this place. I love bringing him here. The new location is just as fantastic as the first location in Levittown! My nephew and I spent the entire day here and didn't run out of things to do. Everyone who works here is incredibly helpful and friendly, and the place is immaculate. We can't wait to go again.",Positive,Positive
Lots of scenery..bring camera and good hiking boots..can even pack a lunch..lots of fyn excersice,None,None
My office use to be on 17th floor.Nice and super clean. Vary nicely manged. Cafeteria is a plus.,Positive,Positive
Great new baseball and socerr field,None,None
One of the best parks in the city. You can let nature be a part of your walk.,Positive,Positive
Quick and friendly service at affordable prices.,None,None
Always cheap prices then other gas stations nearby customer service everything inside store is also cheap compared to other gas stations also the workers are friendly and corporative. Had a nice trip every time I visited ultra gas station cash and debit same price,None,None
"Great addition to the #BikeNYC community. Right off the Belt Parkway Greenway, lots of gravel trails with moderate hills with great views. Bike rentals are also available.",None,None
Great for the little ones. Just watch some of older kids. They can be bullies.,Positive,Negative
One of my favourite parks in the city,Positive,Positive
Lot of trash and homelessness.... please don't come here after sunset.,Negative,Negative
"Is a great ,place ,for the childrens and big people too ,i offen visit with my grandkids he love it ,i recomend to all people also the big and clean park ,to enjoy",Positive,Positive
Nice concept with poor execution. Haphazard layout and a lot of upscale nonsense. Figuring out which building houses a particular store and the entrance to it is a big hassle. The one building that houses Bed Bath and Beyond and Saks Off 5th is the only one that is fun to shop in.,Negative,Negative
Today December 26 place was closed for no reason. Then open leigh. Not convenient,Negative,Negative
"Very quiet, but friendly, clean place. The location is a little complex to get out of when leaving or entering from opposite side of road upon entering.",Positive,Positive
Give me bunch of bags that rip as soonest i step out and refuse to give new ones,Negative,Negative
"Great air, great park, great everything! :)",Positive,Positive
Great place to go have fun with grandkids,None,None
"Been going there for more than 10 years, place is clean bathroom for customers is clean as it could be for a gas station, Also I take my SUV there for all mechanical needs I find is reasonable prices, you might find something cheaper around there but you'll get what you pay for, Special thanks to the owner always kind, (highly recommend)",Positive,Positive
This Memorial is one of the most photographed places in New York City and one of the most visited by tourists at a certain time there are always Flowers and some memory for John at the never ORVIDED LENNON.,None,None
Great deals. Wonderful food hall.,None,None
"I pass this place all the time after school when I walk to the bus stop. I only ever came here to draw stuff. Its a pleasant area I guess. Haven't really seen anything wild happen here. Though, I could be wrong- Sometimes, News12 or even Eyewitness News vans are parked in front of the entrance. Preschoolers often take feild trips here. There's a huge grassland spot at the park center where they have feild days, and of course you're welcome to have a picnic there. There's also this wall with two statues on each end-a good background to take pictures by.",Positive,Positive
Go here every summer have different rides for different ages,None,None
Great prices in an out,None,None
It was a really good workout in the park,None,None
Beautiful spot to see view of Manhattan. Grab an ice cream and catch a view of sail boats and jetskis,None,None
A good place to hang out,None,None
It’s a bit small and they fill it up with a lot of people . And there was a strong weed smell all around I think if people going to interact with kids should not smoke right before entering it was also dirty with cups all over and paper only thing we like was the Lazer tag,Negative,Negative
"Awesome. It's something you necessarily have to see if you step on New York. It is a monument that you must see with time, since it is inevitable to think about the barbarism that occurred there. The number of victims he left, and what unfortunately man is capable of doing by radicalism.",None,None
"Must visit place. Get there early to get inside otherwise you will have to go back. Do not buy ticket from a ticket tout, you will still have to que",None,None
"Has a playground, soccer field, basketball court, work out stands. But enough for everyone to enjoy.",Positive,Positive
Excellent being back home in Grammercy.,Positive,Positive
My baby dog love this place,None,None
I Not Been There But I See The Reviews Seem Pretty Cool But Just Don't Like Fighting I Know It Happens Can't Some One Tell Me The Hours I Live in Brooklyn But my daughter Live Out there With My Grand Baby's so I Making it Easy For Her Need To Know the Hours Thank you God Bless you All Have A Safe Bless Summer,None,None
Really nice park but you got a few bumbs laying on the benches. Other than that you have alot to enjoy,Positive,Negative
Another must do when in new York. You can do the ferry trip as an excursion which we did and I recommend as you get close (although you can no longer go up it) or you can get a cheap ferry to Starting Island and you pass by closely. On Liberty island there are restuarants to get food and drink and a decent gift shop ?Be it fairly expensive),None,None
"This was my best friend in a long time, may he rest in peace",None,None
"Love industry city! Such a good vibes, great food and cool findings.",None,None
Beautiful building and full of stories.,None,None
A very good Park nice,Positive,Positive
"Well for those looking to see the Statue of Liberty, this is it. It's worth noting that Liberty Island doesn't particularly have too much to offer. Other than the statue, there is a museum which has a lot of great information and artifacts but it isn't super large. You can spend a decent chunk of time there but don't expect to spend all day on Liberty Island. You'll likely spend more time on Ellis Island than Liberty Island.",None,None
"Great gas station. Same price cash or credit. Run by Bolla Corp. Super friendly, clean and great prices",Positive,Positive
Not really a good place after dark alittle good in the summer and lots of cracks on the floor and drugs around there,Negative,Negative
Taxis Alicante Alexis rest here,None,None
"Very interesting history, a long lasting monument that represents so much and has lasted so long means a lot to me and many others",None,None
Fantastic i love NY !,None,None
Very very very expensive #93 $3.79，Diesel $4.09,Negative,Negative
Great views of NY and NJ.,None,None
"Not the best park but okay. Small, only has two baseball fields, one of which is full of grass. There is a sprinkler and playground area.",None,None
"I returned to childhood, a nice place. It has a small mall next to it, a beautiful lawn and a great view of the Brooklyn Bridge.",None,None
It is a very quiet park.,None,None
They don't sell bunch inside. Looks a little run down. Great if your stopping quick for gas,Negative,Negative
Coney Island finest. Always open,Positive,Positive
"Visitors to lady liberty will not be disappointed - most importantly BOOK WELL IN ADVANCE IF YOU WANT THE CHANCE TO CLIMB UP INSIDE HER , only one ticket seller but limited tickets for the pedestal and even less to get all the way up into the crown- make sure to pick up one of the free audioguodes when you walk In to the park from the small cabin on the left - take your time and wander round at your own pace rather than being dragged along on one of the guided tours - easy enough to catch a few minutes off of different tours as you go around - make sure to give yourself at least half a day because you get Ellis island thrown in as well",None,None
Number 1 CHEATER.. I went for gas the machine charge me more. When i went inside and talk to the guy he said its not my fault sometime machine also made mistake.. If you go for gas.. Make sure you see your receipt and machine reading. I already made complain about this guy. HORRIBLE GAS STATION .,Negative,Negative
Beautiful park with nature's touch I am here to play pokemon go. Pika pika,None,None
This park is just what this side of Brooklyn needed. Parking sucks... But worth the wait. Just GO!,None,None
The neighborhood gas station. I come here regularly. Nothing special about it but it is convient and cheap.,None,None
I just loved it. This was my first time visiting this place. It was very pleasant experiance and the cruise has excellent service.,Positive,Positive
A cozy park with a market day a few times a week.,None,None
"Very nice cable car ride, but spectacular sunset from Roosvelt island ferry to wall st",None,None
Liberty Island Statue of Liberty,Positive,Positive
"I really enjoyed this place, there was a street singer singing songs by JOHN LENON AND WE HAD A VERY CUTE TIME",None,None
"A great Icon of New York, you cannot visit and not see this amazing sight",None,None
"So much fun! Sure it may be overpriced, but the rides are surprisingly good. I'd never been on any of them except for the Cyclone until I recently ventured out here with my friend and her nephew. Great for kids and kids at heart. There are some surprisingly scary rides in the kiddie park! And I loved the log flume.",None,None
"Nice large playground for pups. Even has a smaller area for ppl to take smaller, older, or more timid dogs",Positive,Positive
It was amazing and crowded on the day that I went and there was a lot of litter and only 5 good rides so I'm going to give it a 4.,Negative,Negative
"Everything was great, the place",Positive,Positive
Iconic location with stunning views of Lower Manhatten,None,None
Beautiful destination in NYC. So much to see and do.,None,None
"Nice to bring the family to for the rides, beach food or drink.",None,None
If they sold food in this park I can spend an entire day there.,None,None
Easily seen and accessible. This is a self-service gas station with garage. The gas price is reasonable for the area.,None,None
"Good prices, cheaper than similar in Manhattan",None,None
"Much better than when it as just Coney Island. Only problem they need to consolidate everything, it's so disjointed right now.",Positive,Negative
Cool park big changes but nice..,None,None
Very pleasant place. Market a little small but very organic.,None,None
Great place to eat a snack and enjoy people watching,None,None
Very beautiful and meaningful place for us. Would’ve loved some literature for the children to read. We noticed that you could download an app that had literature with it. But we do not do that because we only have one smart phone between us all. Wanted this to be more educational for our children. This was a great place for us have a picnic and there is a park nearby also.,None,None
"Very nice, nice service, nice guys, respect",Positive,Positive
"An awesome experience for anyone who loves freedom. Very educational too. An audio tour (included in the price) tells you how the statue was built and paid for, the history of Liberty Island, and more.",None,None
highly competitive gas prices - off brand but they pump for you and easy to get in and out.,None,None
"Despite being a beautiful park like many in New York, it is somewhat strange and sometimes feels unsafe. Unlike Central Park, which is full of tourists, Marcus Garvey Park is more popular with locals. He has a good year-round leisure schedule and always enters the lineup of the city's summer festivals. In the middle of the park you will find one of the city's last observation / surveillance towers known as ""Harlem Fier Watchtower"". It sits on top of a mountain range located deep within the park. To get there you have a structure with lots of steps where the famous drug dealers hide selling what you want in broad daylight. Bottom line: Don't go up. I went up and then was tense to go down. Anyway, if you want a reason to visit this park, go see the Harlem Cultural Festival. If you don't like jazz or aren't staying near it, look for another park.",Negative,None
"It's almost an icon of America representing ""Freedom"". Remember going up to the top of the Crown through internal staircase to have the closest encounter of this icon.",None,None
Dropped off my 78 coupe deville the morning with a brake problem they fixed it and did it at a fair price AND they stayed late to finish it for me to take to work early. That is service!!!,Positive,Positive
"The Statue of Liberty was a great visit. Ellis Island was even better. Ellis Island has been turned into an excellent visitor attraction, which successfully marries learning about the USA's immigrant past with poignant stories of how 12 million people were processed at Ellis Island. There is too much to take in on one visit, but it has been split into sections, so the best bits do not get missed. Give yourself enough time. They suggest a minimum of 45 mins, I think a minimum of 2 hours!",None,None
"Kids love, IDK about adults",None,None
I recommend going very early because it gets crowded and it is difficult to take a photo,None,None
"The gasoline prices are below average, which is good. The owners need to control the activity out at the pumps, this is a self service station but there are aggressive panhandlers out there trying to pump your gas for money.",Negative,Negative
"Very nice staff, cleaness and beautiful scenery",Positive,Positive
"Great View of Manhattan, Brooklyn and New Jersey",None,None
$2 a ride on the merry-go-round when we went. Well with it for children and adults alike.,None,None
I like this because of the pool,None,None
Nice area to walk your dogs.,Positive,Positive
"I love kissena park. Very beautiful with lots of tree coverage and plenty of open fields. Ppl play cricket, basketball, golf, handball, soccer, bocce ball, tennis, fish, run, bike, and baseball. Lots of places to see wild animals including rabbits, foxes and turtles which one can spot daily. Very relieving to the city backdrop and overkill of cement and asphalt.",Positive,Positive
Is a greatbplace to enjoy time with the small buddies dogs,Positive,Positive
"Cool games. Bounce houses, Mini Bowling, virtual reality, laser tag, photo booth etc. Has a snack area. I got a good deal with groupon. See the picture of their price list and u can compare. Clean bathrooms. Friendly staff. Strong wifii.",Positive,Positive
"Gorgeous in the summer. Great place to do it all from chess, to have lunch, lay on the lawn and read a book, or enjoy the Farmers Market!",None,None
